NAME,COLORWAY,ONEY_SALE,RETAIL_PRICE,RESELL_PRICE,RELEASE_DATE,RESELL_DATE,SIZE
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),SYNTH/SYNTH/SYNTH,2660,$220,$367,06/22/2019,"Monday, October 14, 2019",9.5
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),SYNTH/SYNTH/SYNTH,2660,$220,$560,06/22/2019,"Monday, October 14, 2019",5.5
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),SYNTH/SYNTH/SYNTH,2660,$220,$350,06/22/2019,"Monday, October 14, 2019",11
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),SYNTH/SYNTH/SYNTH,2660,$220,$388,06/22/2019,"Sunday, October 13, 2019",8
adidas Yeezy Boost 350 V2 Synth (Non-Reflective),SYNTH/SYNTH/SYNTH,2660,$220,$198,06/22/2019,"Sunday, October 13, 2019",14
adidas Yeezy Boost 350 V2 Trfrm,GREY/GREY/GREY,14863,$220,$410,03/16/2019,"Monday, October 14, 2019",11.5
adidas Yeezy Boost 350 V2 Trfrm,GREY/GREY/GREY,14863,$220,$450,03/16/2019,"Monday, October 14, 2019",14.5
adidas Yeezy Boost 350 V2 Trfrm,GREY/GREY/GREY,14863,$220,$391,03/16/2019,"Monday, October 14, 2019",10
adidas Yeezy Boost 350 V2 Trfrm,GREY/GREY/GREY,14863,$220,$406,03/16/2019,"Monday, October 14, 2019",10.5
adidas Yeezy Boost 350 V2 Trfrm,GREY/GREY/GREY,14863,$220,$402,03/16/2019,"Monday, October 14, 2019",8
adidas Yeezy Boost 350 V2 Trfrm,GREY/GREY/GREY,14863,$220,$540,03/16/2019,"Monday, October 14, 2019",6
adidas Yeezy Boost 350 V2 Trfrm,GREY/GREY/GREY,14863,$220,$537,03/16/2019,"Monday, October 14, 2019",6
adidas Yeezy Boost 350 V2 Trfrm,GREY/GREY/GREY,14863,$220,$407,03/16/2019,"Sunday, October 13, 2019",10.5
adidas Yeezy Boost 350 V2 Trfrm,GREY/GREY/GREY,14863,$220,$409,03/16/2019,"Sunday, October 13, 2019",11.5
adidas Yeezy Boost 350 V2 Trfrm,GREY/GREY/GREY,14863,$220,$420,03/16/2019,"Sunday, October 13, 2019",9
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),ANTLIA/ANTLIA/ANTLIA,12248,$220,$245,06/22/2019,"Monday, October 14, 2019",11.5
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),ANTLIA/ANTLIA/ANTLIA,12248,$220,$286,06/22/2019,"Monday, October 14, 2019",7.5
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),ANTLIA/ANTLIA/ANTLIA,12248,$220,$268,06/22/2019,"Sunday, October 13, 2019",9.5
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),ANTLIA/ANTLIA/ANTLIA,12248,$220,$276,06/22/2019,"Sunday, October 13, 2019",9
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),ANTLIA/ANTLIA/ANTLIA,12248,$220,$298,06/22/2019,"Sunday, October 13, 2019",6.5
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),ANTLIA/ANTLIA/ANTLIA,12248,$220,$268,06/22/2019,"Sunday, October 13, 2019",10.5
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),ANTLIA/ANTLIA/ANTLIA,12248,$220,$292,06/22/2019,"Sunday, October 13, 2019",6
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),ANTLIA/ANTLIA/ANTLIA,12248,$220,$242,06/22/2019,"Sunday, October 13, 2019",8
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),ANTLIA/ANTLIA/ANTLIA,12248,$220,$245,06/22/2019,"Sunday, October 13, 2019",11.5
adidas Yeezy Boost 350 V2 Antlia (Non-Reflective),ANTLIA/ANTLIA/ANTLIA,12248,$220,$272,06/22/2019,"Sunday, October 13, 2019",4.5
adidas Yeezy Boost 350 V2 Static Black (Reflective),BLACK/BLACK/BLACK,2061,$220,"$1,608",06/06/2019,"Monday, October 14, 2019",8.5
adidas Yeezy Boost 350 V2 Static Black (Reflective),BLACK/BLACK/BLACK,2061,$220,"$1,501",06/06/2019,"Monday, October 14, 2019",6
adidas Yeezy Boost 350 V2 Static Black (Reflective),BLACK/BLACK/BLACK,2061,$220,"$1,505",06/06/2019,"Monday, October 14, 2019",11.5
adidas Yeezy Boost 350 V2 Static Black (Reflective),BLACK/BLACK/BLACK,2061,$220,"$1,760",06/06/2019,"Monday, October 14, 2019",5.5
adidas Yeezy Boost 350 V2 Static Black (Reflective),BLACK/BLACK/BLACK,2061,$220,"$1,751",06/06/2019,"Monday, October 14, 2019",4
adidas Yeezy Boost 350 V2 Static Black (Reflective),BLACK/BLACK/BLACK,2061,$220,"$1,950",06/06/2019,"Monday, October 14, 2019",9
adidas Yeezy Boost 350 V2 Static Black (Reflective),BLACK/BLACK/BLACK,2061,$220,"$1,433",06/06/2019,"Monday, October 14, 2019",11
adidas Yeezy Boost 350 V2 Static Black (Reflective),BLACK/BLACK/BLACK,2061,$220,"$1,920",06/06/2019,"Monday, October 14, 2019",10
adidas Yeezy Boost 350 V2 Static Black (Reflective),BLACK/BLACK/BLACK,2061,$220,"$1,880",06/06/2019,"Monday, October 14, 2019",9.5
adidas Yeezy Boost 350 V2 Static Black (Reflective),BLACK/BLACK/BLACK,2061,$220,"$1,830",06/06/2019,"Monday, October 14, 2019",8
adidas Yeezy Boost 350 V2 Static Reflective,STATIC/STATIC/STATIC,20844,$220,"$1,030",12/26/2018,"Monday, October 14, 2019",8
